customer_id,item_id,rep_id,invoice_qty,receipt_date,tax_code,net_total_value,is_sales_return,return_value
451,3139,2,13,2023-05-12,TX_RET_1201,154.52,True,154.52
531,2038,3,19,2023-10-30,TX_PUR_1101,1327.88,False,0.0
1714,735,20,12,2022-04-29,TX_CAN_1949,137.77,False,0.0
1008,3495,22,13,2022-02-25,TX_RET_1201,2394.75,True,2394.75
176,6570,22,24,2023-01-04,TX_PUR_1102,2250.48,False,0.0
2574,10707,13,22,2022-09-05,TX_CAN_1949,1713.33,False,0.0
1308,5498,13,1,2022-03-30,TX_CAN_1949,1695.18,False,0.0
1172,1342,1,6,2023-02-03,TX_ADJ_1949,2115.87,False,0.0
2193,7389,12,10,2024-02-15,TX_RET_2202,961.78,True,961.78
553,570,4,1,2022-04-29,TX_RET_1202,1159.81,True,1159.81
41,864,16,24,2022-11-21,TX_RET_1201,1459.05,True,1459.05
1664,394,1,2,2022-02-07,TX_RET_1202,1924.17,True,1924.17
1227,19,4,2,2023-05-31,TX_ADJ_1949,1403.31,False,0.0
661,9160,3,19,2021-08-31,TX_ADJ_1949,590.23,False,0.0
1894,10669,5,13,2021-12-28,TX_RET_1201,343.59,True,343.59
2259,4894,10,4,2021-12-15,TX_ADJ_1949,2297.58,False,0.0
2097,10739,23,2,2022-04-26,TX_PUR_1102,70.43,False,0.0
962,5311,5,20,2023-02-10,TX_RET_1201,332.84,True,332.84
2475,11242,20,8,2021-08-30,TX_MISC_1999,1349.44,False,0.0
1780,1040,13,9,2023-10-17,TX_ADJ_1949,2193.33,False,0.0
620,7257,15,8,2022-06-03,TX_RET_1201,653.2,True,653.2
2187,8253,4,20,2023-05-25,TX_ADJ_1949,2227.09,False,0.0
1266,307,23,21,2022-11-03,TX_PUR_1101,1903.2,False,0.0
1899,1779,6,9,2022-03-29,TX_ADJ_1949,1998.26,False,0.0
1223,2672,14,17,2022-11-23,TX_ADJ_1949,1720.01,False,0.0
1031,2151,20,1,2022-05-06,TX_MISC_1999,1526.27,False,0.0
189,4981,3,9,2022-05-11,TX_PUR_1101,448.19,False,0.0
112,10617,15,20,2022-12-20,TX_RET_1202,2051.56,True,2051.56
1184,7546,2,5,2023-12-22,TX_CAN_1949,1701.62,False,0.0
88,8400,23,6,2022-10-13,TX_MISC_1999,75.18,False,0.0
1514,6114,9,4,2022-07-20,TX_RET_2202,1173.31,True,1173.31
1917,6688,5,16,2021-12-20,TX_MISC_1999,1274.44,False,0.0
1837,4606,22,15,2023-12-28,TX_ADJ_1949,1432.67,False,0.0
1048,994,11,7,2021-12-15,TX_PUR_1101,1394.97,False,0.0
1917,6568,14,18,2023-11-30,TX_MISC_1999,1074.55,False,0.0
1345,2030,15,15,2022-02-23,TX_CAN_1949,259.99,False,0.0
1374,6697,21,13,2023-07-10,TX_PUR_1102,1403.23,False,0.0
701,1299,18,18,2022-08-08,TX_CAN_1949,2133.95,False,0.0
850,11019,4,2,2022-10-17,TX_PUR_1101,2367.39,False,0.0
1799,2138,19,4,2022-08-23,TX_CAN_1949,641.55,False,0.0
334,11266,18,23,2022-09-12,TX_ADJ_1949,1069.45,False,0.0
933,8026,19,16,2023-03-22,TX_CAN_1949,1383.46,False,0.0
619,10863,14,9,2023-03-22,TX_RET_1201,270.88,True,270.88
1737,3451,4,18,2023-08-22,TX_MISC_1999,1867.47,False,0.0
828,6989,4,21,2022-08-16,TX_PUR_1101,1470.94,False,0.0
2528,6086,13,21,2021-11-18,TX_RET_1202,1437.28,True,1437.28
824,5064,17,2,2022-08-26,TX_PUR_1102,584.08,False,0.0
1533,1727,24,6,2022-10-11,TX_RET_1201,996.62,True,996.62
2503,6974,8,12,2021-08-31,TX_CAN_1949,1631.07,False,0.0
1755,6478,3,8,2024-01-10,TX_PUR_1101,963.5,False,0.0
96,5221,2,7,2022-01-20,TX_PUR_1101,2254.69,False,0.0
1742,1931,23,6,2022-11-07,TX_PUR_1101,628.89,False,0.0
1998,4500,23,24,2022-08-26,TX_PUR_1101,204.4,False,0.0
212,9428,12,10,2021-09-01,TX_PUR_1102,1102.43,False,0.0
2499,6642,13,14,2022-10-04,TX_PUR_1102,1006.42,False,0.0
2615,6354,8,7,2023-02-10,TX_CAN_1949,1282.05,False,0.0
2237,5185,25,21,2022-02-22,TX_MISC_1999,888.3,False,0.0
91,4276,19,3,2023-11-06,TX_RET_2202,2193.3,True,2193.3
1378,5992,3,18,2022-10-31,TX_RET_1201,1791.43,True,1791.43
1738,6298,8,13,2022-06-21,TX_MISC_1999,82.19,False,0.0
1990,8337,24,10,2022-08-26,TX_ADJ_1949,793.24,False,0.0
2049,5954,7,6,2023-12-18,TX_CAN_1949,971.17,False,0.0
505,4700,2,24,2021-08-20,TX_PUR_1101,1611.79,False,0.0
931,2038,15,4,2023-02-14,TX_PUR_1102,1940.81,False,0.0
1451,3283,18,2,2023-08-10,TX_RET_1201,2146.89,True,2146.89
1395,5059,22,12,2023-03-13,TX_RET_1202,761.75,True,761.75
288,5841,2,6,2023-10-17,TX_RET_1202,827.87,True,827.87
1080,7393,2,9,2022-05-24,TX_ADJ_1949,2367.27,False,0.0
1654,1310,15,4,2023-02-15,TX_CAN_1949,855.38,False,0.0
1406,1461,12,19,2022-11-29,TX_PUR_1101,1531.71,False,0.0
1478,9624,20,6,2022-05-20,TX_RET_1201,1592.99,True,1592.99
2456,193,21,24,2023-04-03,TX_PUR_1101,1861.18,False,0.0
56,2379,17,22,2023-03-16,TX_RET_1202,2468.15,True,2468.15
1019,2734,9,21,2023-12-27,TX_ADJ_1949,809.7,False,0.0
2081,1904,6,17,2023-05-12,TX_PUR_1101,877.87,False,0.0
286,1666,9,13,2023-10-25,TX_PUR_1101,1607.04,False,0.0
179,5558,8,23,2022-02-23,TX_RET_1202,1329.29,True,1329.29
2535,9361,1,6,2022-08-16,TX_RET_2202,750.47,True,750.47
2226,994,20,5,2022-01-13,TX_CAN_1949,392.13,False,0.0
1329,8046,17,7,2022-03-30,TX_RET_1201,157.44,True,157.44
734,5849,20,8,2022-12-15,TX_RET_1201,2494.33,True,2494.33
2318,1016,3,14,2022-12-10,TX_CAN_1949,1648.13,False,0.0
798,3848,24,11,2021-08-05,TX_CAN_1949,1648.29,False,0.0
1462,3104,25,1,2023-05-11,TX_CAN_1949,1605.1,False,0.0
1619,4676,5,8,2022-09-15,TX_RET_2202,143.51,True,143.51
936,7194,20,22,2023-03-28,TX_ADJ_1949,1832.86,False,0.0
1027,9798,22,1,2023-12-18,TX_PUR_1102,2083.89,False,0.0
82,7375,3,8,2023-06-26,TX_RET_1202,1765.99,True,1765.99
346,10306,22,16,2022-03-22,TX_MISC_1999,1074.84,False,0.0
1407,296,16,20,2021-09-10,TX_RET_2202,2351.48,True,2351.48
1056,6529,23,21,2022-08-16,TX_MISC_1999,1270.83,False,0.0
1012,8511,17,19,2022-12-20,TX_RET_1201,2008.74,True,2008.74
1021,2054,3,8,2023-04-18,TX_CAN_1949,309.16,False,0.0
1431,1793,2,22,2023-04-19,TX_PUR_1101,1425.29,False,0.0
2130,5338,14,5,2022-03-30,TX_CAN_1949,1380.79,False,0.0
1781,3997,18,21,2022-08-16,TX_RET_1202,62.26,True,62.26
2195,3403,22,23,2023-05-02,TX_ADJ_1949,1818.07,False,0.0
529,7696,10,15,2022-01-14,TX_ADJ_1949,260.4,False,0.0
2241,10529,8,10,2022-04-29,TX_RET_2202,233.25,True,233.25
471,3621,19,22,2022-10-11,TX_RET_1201,1801.58,True,1801.58
2461,10258,14,17,2024-02-09,TX_MISC_1999,402.24,False,0.0
649,6431,22,14,2021-10-19,TX_RET_1202,877.04,True,877.04
42,8047,14,15,2021-11-26,TX_ADJ_1949,1422.62,False,0.0
1430,10855,20,1,2021-11-23,TX_MISC_1999,483.86,False,0.0
2520,2850,2,10,2022-01-13,TX_RET_1202,2226.18,True,2226.18
1839,10715,23,18,2022-02-25,TX_ADJ_1949,230.02,False,0.0
333,4342,5,1,2022-02-25,TX_ADJ_1949,1655.05,False,0.0
1399,1572,21,24,2022-02-25,TX_CAN_1949,1560.51,False,0.0
2559,8568,23,7,2022-02-25,TX_CAN_1949,2038.16,False,0.0
2336,4203,7,17,2022-02-25,TX_ADJ_1949,1996.5,False,0.0
1237,8233,16,9,2022-02-25,TX_PUR_1101,1638.77,False,0.0
682,463,25,6,2022-02-25,TX_RET_1201,1229.5,True,1229.5
88,3410,15,19,2022-02-25,TX_MISC_1999,1187.98,False,0.0
1234,3182,19,15,2022-02-25,TX_PUR_1101,1061.27,False,0.0
985,11450,11,23,2022-02-25,TX_RET_1202,1096.47,True,1096.47
1931,10128,23,3,2022-02-25,TX_PUR_1102,2064.15,False,0.0
1859,5254,14,13,2022-02-25,TX_PUR_1102,887.94,False,0.0
1809,2987,23,19,2022-02-25,TX_PUR_1102,2357.61,False,0.0
1963,11005,17,21,2022-02-25,TX_ADJ_1949,187.13,False,0.0
448,2477,24,18,2022-02-25,TX_RET_2202,1085.53,True,1085.53
1277,11166,13,16,2022-02-25,TX_RET_1201,1188.21,True,1188.21
2625,9481,24,18,2022-02-25,TX_MISC_1999,368.62,False,0.0
614,9419,15,8,2022-02-25,TX_ADJ_1949,1034.14,False,0.0
1366,9250,23,13,2022-02-25,TX_CAN_1949,1819.2,False,0.0
2383,4690,21,15,2022-02-25,TX_ADJ_1949,1722.07,False,0.0
558,8193,7,10,2022-02-25,TX_CAN_1949,1254.59,False,0.0
1328,10518,22,9,2022-02-25,TX_ADJ_1949,228.92,False,0.0
1589,3151,2,16,2022-02-25,TX_CAN_1949,858.6,False,0.0
1131,8725,8,13,2022-02-25,TX_MISC_1999,1019.51,False,0.0
2457,4003,14,10,2022-02-25,TX_RET_1202,1897.39,True,1897.39
1077,4472,8,9,2022-02-25,TX_CAN_1949,1654.25,False,0.0
1376,3210,12,21,2022-02-25,TX_MISC_1999,2437.51,False,0.0
355,2604,5,18,2022-02-25,TX_CAN_1949,1378.19,False,0.0
2149,22,17,10,2022-02-25,TX_RET_1201,225.76,True,225.76
1628,4774,7,24,2022-02-25,TX_ADJ_1949,608.28,False,0.0
1285,6260,15,16,2022-02-25,TX_RET_1202,318.92,True,318.92
483,1500,9,18,2022-02-25,TX_PUR_1102,2154.67,False,0.0
1144,4035,11,8,2022-02-25,TX_RET_1202,719.12,True,719.12
705,2099,7,23,2022-02-25,TX_RET_1202,389.04,True,389.04
950,8032,14,10,2022-02-25,TX_RET_2202,684.37,True,684.37
338,8327,24,23,2022-02-25,TX_ADJ_1949,1407.45,False,0.0
2544,2410,9,17,2022-02-25,TX_MISC_1999,1712.6,False,0.0
2438,1279,4,23,2022-02-25,TX_ADJ_1949,2056.46,False,0.0
2099,7760,4,21,2022-02-25,TX_RET_1202,1327.18,True,1327.18
232,10910,1,17,2022-02-25,TX_MISC_1999,1636.17,False,0.0
2301,9497,2,6,2022-02-25,TX_RET_1202,679.83,True,679.83
1514,1540,5,9,2022-02-25,TX_RET_2202,510.19,True,510.19
541,11045,2,19,2022-02-25,TX_PUR_1101,569.94,False,0.0
936,10400,25,11,2022-02-25,TX_CAN_1949,1819.31,False,0.0
2658,6570,4,24,2022-02-25,TX_RET_1201,2099.19,True,2099.19
161,794,25,14,2022-03-21,TX_RET_2202,1384.47,True,1384.47
1001,7943,2,18,2022-03-21,TX_PUR_1101,1999.6,False,0.0
393,2172,17,14,2022-03-21,TX_RET_1202,1302.56,True,1302.56
1525,9532,3,20,2022-03-21,TX_PUR_1101,1704.1,False,0.0
1726,3994,9,10,2022-03-21,TX_PUR_1101,1763.1,False,0.0
1007,326,8,6,2022-03-21,TX_MISC_1999,2103.19,False,0.0
253,3149,25,13,2022-03-21,TX_RET_2202,640.04,True,640.04
564,11261,24,9,2022-03-21,TX_PUR_1102,288.15,False,0.0
1406,7369,9,17,2022-03-21,TX_PUR_1101,2299.79,False,0.0
2577,8058,25,5,2022-03-21,TX_ADJ_1949,1926.34,False,0.0
1641,2798,21,7,2022-03-21,TX_RET_1201,1582.68,True,1582.68
1248,5454,2,20,2022-03-21,TX_MISC_1999,1299.24,False,0.0
161,1694,21,6,2022-03-21,TX_CAN_1949,1212.51,False,0.0
1115,3279,6,17,2022-03-21,TX_PUR_1101,1384.62,False,0.0
1824,150,14,11,2022-03-21,TX_RET_2202,2482.17,True,2482.17
1089,6439,24,17,2022-03-21,TX_PUR_1101,600.23,False,0.0
1390,3846,25,21,2022-03-21,TX_PUR_1101,1897.9,False,0.0
891,8906,20,4,2022-03-21,TX_MISC_1999,429.67,False,0.0
140,1167,13,23,2022-03-21,TX_RET_1202,1847.23,True,1847.23
2078,10463,3,17,2022-03-21,TX_RET_2202,351.43,True,351.43
474,6318,3,1,2022-03-21,TX_CAN_1949,1269.6,False,0.0
440,6373,4,13,2022-03-21,TX_ADJ_1949,1783.02,False,0.0
900,7928,18,5,2022-03-21,TX_RET_2202,424.79,True,424.79
2229,796,23,24,2022-03-21,TX_RET_2202,2033.5,True,2033.5
173,3042,4,8,2022-03-21,TX_RET_1202,1820.62,True,1820.62
332,5605,17,23,2022-03-21,TX_PUR_1101,1900.23,False,0.0
154,1143,19,18,2022-03-21,TX_RET_1201,351.89,True,351.89
718,9868,18,23,2022-03-21,TX_RET_2202,1224.9,True,1224.9
1366,827,6,22,2022-03-21,TX_PUR_1101,387.77,False,0.0
1637,572,3,16,2022-03-21,TX_RET_1202,1328.48,True,1328.48
889,9278,23,5,2022-03-21,TX_RET_1201,1269.63,True,1269.63
470,160,20,6,2022-03-21,TX_CAN_1949,2480.18,False,0.0
1764,10893,23,13,2022-03-21,TX_ADJ_1949,935.96,False,0.0
2588,451,5,15,2022-03-21,TX_PUR_1101,853.35,False,0.0
997,10976,8,5,2022-03-21,TX_RET_1201,1351.98,True,1351.98
966,1598,24,12,2022-03-21,TX_CAN_1949,1773.33,False,0.0
935,7553,5,20,2022-03-21,TX_CAN_1949,356.07,False,0.0
1895,300,4,4,2022-03-21,TX_MISC_1999,1069.96,False,0.0
1077,8076,13,11,2022-03-21,TX_RET_2202,404.64,True,404.64
1313,7061,9,7,2022-03-21,TX_RET_1201,1344.25,True,1344.25
2220,7896,13,15,2022-03-21,TX_CAN_1949,2391.1,False,0.0
710,4903,2,15,2022-03-21,TX_RET_2202,230.41,True,230.41
2649,3128,25,20,2022-03-21,TX_PUR_1101,2449.95,False,0.0
2459,8105,25,17,2022-03-21,TX_PUR_1101,539.15,False,0.0
2261,82,1,9,2022-03-21,TX_PUR_1102,2277.88,False,0.0
1286,8852,16,19,2022-03-21,TX_RET_1201,190.78,True,190.78
273,2161,3,2,2022-03-21,TX_PUR_1102,1009.56,False,0.0
2271,4011,22,2,2022-03-21,TX_RET_1202,205.7,True,205.7
1224,3993,6,18,2022-03-21,TX_RET_1201,680.62,True,680.62
1360,412,18,4,2022-03-21,TX_RET_1202,577.58,True,577.58
2458,11468,23,14,2022-03-21,TX_RET_1202,612.2,True,612.2
1515,3855,12,1,2022-03-21,TX_MISC_1999,2118.71,False,0.0
954,7500,16,24,2022-03-21,TX_PUR_1102,1912.01,False,0.0
1248,7818,10,16,2022-03-21,TX_RET_1201,562.34,True,562.34
1929,5536,24,6,2022-03-21,TX_RET_2202,1063.16,True,1063.16
2150,3022,21,4,2022-03-21,TX_PUR_1102,444.49,False,0.0
592,5318,21,13,2022-03-21,TX_RET_1202,497.91,True,497.91
812,2599,9,20,2022-03-21,TX_RET_1202,149.7,True,149.7
498,3652,16,18,2022-03-21,TX_PUR_1102,398.3,False,0.0
591,2918,17,8,2022-03-21,TX_RET_1202,254.11,True,254.11
722,6392,22,2,2022-03-21,TX_PUR_1101,1336.72,False,0.0
2492,10930,16,13,2022-03-21,TX_RET_1202,1129.03,True,1129.03
931,9202,18,1,2022-03-21,TX_ADJ_1949,1558.11,False,0.0
1049,11437,10,11,2022-03-21,TX_RET_2202,1288.75,True,1288.75
81,7394,21,10,2022-03-21,TX_PUR_1102,1847.98,False,0.0
1623,10185,9,5,2022-03-24,TX_RET_1202,1168.5,True,1168.5
957,5229,5,23,2022-03-24,TX_MISC_1999,1658.1,False,0.0
1776,6021,1,8,2022-03-24,TX_PUR_1102,2414.72,False,0.0
2192,11174,3,20,2022-03-24,TX_RET_2202,2464.9,True,2464.9
1886,1573,4,13,2022-03-24,TX_CAN_1949,2358.96,False,0.0
1934,3718,14,3,2022-03-24,TX_RET_1201,2424.03,True,2424.03
2367,3822,4,6,2022-03-28,TX_RET_1201,2176.18,True,2176.18
1,5804,6,24,2022-03-28,TX_RET_1201,1733.21,True,1733.21
922,2004,24,22,2022-03-28,TX_RET_1201,1650.63,True,1650.63
327,2071,10,20,2022-03-28,TX_CAN_1949,487.1,False,0.0
2102,204,20,22,2022-03-28,TX_RET_1202,2154.62,True,2154.62
572,9943,22,14,2022-03-28,TX_RET_2202,1900.13,True,1900.13
2432,5865,19,24,2022-03-28,TX_ADJ_1949,2439.99,False,0.0
1867,1384,24,24,2022-03-28,TX_RET_2202,1752.1,True,1752.1
1398,1635,15,9,2022-03-28,TX_PUR_1102,1925.22,False,0.0
2452,1201,6,20,2022-03-28,TX_RET_1201,1124.12,True,1124.12
350,10615,22,23,2022-03-28,TX_ADJ_1949,1827.87,False,0.0
1385,10555,22,22,2022-03-28,TX_RET_1202,57.6,True,57.6
77,2160,8,14,2022-03-28,TX_CAN_1949,365.8,False,0.0
690,5415,4,10,2022-03-28,TX_CAN_1949,2013.61,False,0.0
2254,2043,7,23,2022-03-28,TX_CAN_1949,1918.21,False,0.0
2229,11430,25,8,2022-03-28,TX_MISC_1999,1376.21,False,0.0
2469,622,14,14,2022-03-28,TX_RET_2202,1158.98,True,1158.98
1421,7474,11,5,2022-03-28,TX_PUR_1101,219.7,False,0.0
2460,4255,15,19,2022-03-28,TX_RET_1202,1356.89,True,1356.89
2388,10930,19,4,2022-03-28,TX_CAN_1949,1989.16,False,0.0
985,11120,19,15,2022-04-14,TX_ADJ_1949,1727.05,False,0.0
91,1026,4,22,2022-04-14,TX_RET_1201,1226.49,True,1226.49
935,2103,4,13,2022-04-14,TX_RET_1202,268.26,True,268.26
2450,4829,20,14,2022-04-14,TX_RET_2202,220.4,True,220.4
2028,4843,12,9,2022-04-14,TX_RET_1201,1983.98,True,1983.98
2577,8270,25,4,2022-04-14,TX_ADJ_1949,2256.94,False,0.0
2565,2662,8,15,2022-04-14,TX_CAN_1949,1947.81,False,0.0
148,8908,1,8,2022-04-14,TX_RET_1201,1549.16,True,1549.16
1572,1446,24,10,2022-04-14,TX_ADJ_1949,2016.67,False,0.0
721,4748,23,7,2022-04-14,TX_CAN_1949,1801.41,False,0.0
2572,9845,19,2,2022-04-14,TX_RET_2202,1961.75,True,1961.75
2544,10932,12,10,2022-04-14,TX_MISC_1999,2046.13,False,0.0
2156,4729,17,20,2022-04-14,TX_RET_1201,2154.72,True,2154.72
156,2623,8,17,2022-04-14,TX_PUR_1101,2467.37,False,0.0
283,2523,24,1,2022-04-14,TX_RET_1201,1565.63,True,1565.63
374,11428,24,16,2022-04-14,TX_PUR_1101,1201.72,False,0.0
2351,4338,4,17,2022-04-14,TX_PUR_1101,2225.49,False,0.0
290,1047,16,2,2022-04-14,TX_RET_1201,1903.26,True,1903.26
403,4061,16,11,2022-04-14,TX_ADJ_1949,616.27,False,0.0
882,3981,22,6,2022-04-14,TX_PUR_1102,2079.53,False,0.0
1452,365,11,20,2022-04-14,TX_RET_2202,1624.27,True,1624.27
1371,4932,24,15,2022-04-14,TX_RET_2202,975.02,True,975.02
2155,9112,19,9,2022-04-14,TX_CAN_1949,1915.26,False,0.0
1640,11015,9,16,2022-04-14,TX_RET_2202,1697.84,True,1697.84
2024,8185,20,22,2022-04-14,TX_RET_2202,2252.27,True,2252.27
2575,9388,12,23,2022-04-14,TX_RET_2202,1301.05,True,1301.05
238,31,25,22,2022-04-14,TX_RET_1202,1058.91,True,1058.91
727,340,7,8,2022-04-14,TX_RET_1202,976.9,True,976.9
160,1096,6,18,2022-04-14,TX_RET_1202,1465.6,True,1465.6
1807,4424,20,10,2022-04-14,TX_PUR_1102,582.74,False,0.0
1429,3620,15,20,2022-04-14,TX_RET_1201,938.12,True,938.12
1545,9847,18,16,2022-04-14,TX_MISC_1999,106.3,False,0.0
1139,887,22,1,2022-04-14,TX_RET_1202,2319.55,True,2319.55
1085,10817,25,18,2022-04-14,TX_MISC_1999,1491.12,False,0.0
336,6316,13,24,2022-04-14,TX_RET_1202,1199.7,True,1199.7
1989,9152,5,22,2022-04-14,TX_RET_1202,835.06,True,835.06
1444,2861,20,12,2022-04-14,TX_RET_2202,1751.73,True,1751.73
799,1419,17,8,2022-04-14,TX_PUR_1101,399.03,False,0.0
2093,3009,4,10,2022-04-14,TX_PUR_1101,560.15,False,0.0
447,4091,9,2,2022-04-14,TX_MISC_1999,381.67,False,0.0
950,678,8,6,2022-04-14,TX_ADJ_1949,1536.85,False,0.0
1603,10275,3,12,2022-04-14,TX_PUR_1101,1305.22,False,0.0
1759,317,15,22,2022-04-14,TX_MISC_1999,985.11,False,0.0
2491,6276,3,8,2022-04-14,TX_MISC_1999,1224.57,False,0.0
1900,7769,6,3,2022-04-14,TX_PUR_1102,1316.15,False,0.0
1514,1853,18,24,2022-04-14,TX_MISC_1999,2124.57,False,0.0
963,2691,25,9,2022-04-14,TX_MISC_1999,491.59,False,0.0
1825,1616,14,24,2022-04-14,TX_RET_2202,2325.27,True,2325.27
537,410,23,24,2022-04-14,TX_PUR_1102,445.37,False,0.0
1998,9000,24,24,2022-04-14,TX_RET_2202,1609.98,True,1609.98
36,10459,10,15,2022-04-14,TX_MISC_1999,469.4,False,0.0
157,1411,3,8,2022-04-14,TX_MISC_1999,2352.49,False,0.0
1794,10464,15,1,2022-04-14,TX_ADJ_1949,136.23,False,0.0
941,1339,2,6,2022-04-14,TX_PUR_1101,1991.65,False,0.0
2441,5051,1,13,2022-04-14,TX_PUR_1101,1674.34,False,0.0
2444,11088,25,17,2022-04-14,TX_ADJ_1949,1430.8,False,0.0
24,484,8,11,2022-04-18,TX_PUR_1102,1549.4,False,0.0
2412,4699,13,9,2022-04-18,TX_RET_1201,754.8,True,754.8
452,9745,25,20,2022-04-18,TX_RET_1202,1038.53,True,1038.53
171,9782,1,23,2022-04-18,TX_PUR_1101,1118.34,False,0.0
1015,10519,7,4,2022-04-18,TX_ADJ_1949,320.98,False,0.0
908,6724,13,17,2022-04-18,TX_MISC_1999,1843.99,False,0.0
752,6374,11,24,2022-04-18,TX_PUR_1102,1220.58,False,0.0
2210,6560,24,10,2022-04-18,TX_CAN_1949,466.42,False,0.0
2334,6063,19,9,2022-04-18,TX_PUR_1101,1265.97,False,0.0
282,2241,10,2,2022-04-18,TX_PUR_1101,1380.81,False,0.0
2518,7233,16,5,2022-04-18,TX_MISC_1999,1242.08,False,0.0
1360,6670,5,7,2022-04-18,TX_MISC_1999,1551.19,False,0.0
2039,5940,12,19,2022-04-18,TX_MISC_1999,1203.88,False,0.0
1308,2479,4,1,2022-04-18,TX_RET_2202,532.66,True,532.66
867,1828,1,10,2022-04-18,TX_MISC_1999,2088.18,False,0.0
1241,8997,15,5,2022-04-18,TX_RET_1201,1782.58,True,1782.58
424,2149,20,23,2022-04-18,TX_CAN_1949,1863.09,False,0.0
529,6102,2,11,2022-04-18,TX_RET_2202,316.41,True,316.41
1808,10879,9,8,2022-04-18,TX_ADJ_1949,603.93,False,0.0
1492,9311,9,15,2022-04-18,TX_PUR_1102,2109.85,False,0.0
127,2241,22,7,2022-04-18,TX_ADJ_1949,1785.99,False,0.0
348,11049,2,18,2022-04-18,TX_RET_2202,1406.55,True,1406.55
615,3962,12,16,2022-04-19,TX_MISC_1999,1428.72,False,0.0
682,8151,22,11,2022-04-19,TX_CAN_1949,1952.47,False,0.0
1805,10301,16,19,2022-04-19,TX_CAN_1949,721.03,False,0.0
754,10111,13,20,2022-04-19,TX_RET_2202,668.61,True,668.61
357,8225,4,20,2022-04-19,TX_MISC_1999,1658.35,False,0.0
2240,7140,13,2,2022-04-19,TX_MISC_1999,573.53,False,0.0
1648,2885,8,16,2022-04-19,TX_RET_1202,1969.61,True,1969.61
128,3896,3,14,2022-04-19,TX_CAN_1949,1066.1,False,0.0
2485,10663,6,20,2022-04-19,TX_RET_1201,1403.35,True,1403.35
2213,1523,10,5,2022-04-19,TX_RET_1201,918.76,True,918.76
2327,5995,22,12,2022-04-19,TX_ADJ_1949,1022.93,False,0.0
931,1754,12,1,2022-04-19,TX_PUR_1102,697.81,False,0.0
726,3066,2,1,2022-04-19,TX_PUR_1101,135.33,False,0.0
